timestamp,cpu_user,cpu_system,cpu_idle,cpu_iowait,cpu_steal,mem_total_kb,mem_used_kb,mem_free_kb,mem_cached_kb,disk_read_bytes,disk_write_bytes,net_rx_bytes,net_tx_bytes
1767829434,50.34860557768914,0.49800796812748727,48.00796812749009,0.7470119521912353,0,3898388,164268,3329820,400292,153190,36147,679,971
1767829439,50.09980039920172,0,49.600798403193544,0,0,3898388,164264,3329820,400296,0,819,760,1049
1767829444,53.04087736789646,0.5982053838484612,46.06181455633075,0.09970089730807392,0,3898484,156088,3338088,400300,0,1638,3807,2724
1767829449,49.999999999999574,0,49.600798403194126,0,0,3898484,157844,3336328,400304,0,4096,796,1067
1767829454,50.00000000000071,0.09960159362549738,49.50199203187182,0,0,3898484,161936,3332232,400308,0,2457,1904,1812
1767829459,49.99999999999943,0.09980039920159373,49.700598802395625,0,0,3898512,161960,3332232,400312,0,60620,0,0
1767829464,49.95014955134615,0.09970089730807392,49.551345962113636,0,0,3898512,161956,3332232,400316,0,9011,760,1049
1767829469,49.99999999999958,0.09960159362549512,49.601593625498374,0,0,3898512,162200,3331980,400324,0,819,760,1049
1767829474,50.04995004995014,0,49.65034965034955,0,0,3898512,162196,3331980,400328,0,819,760,1049
1767829479,49.9003984063753,0,49.60159362549723,0.09960159362549738,0,3898512,162192,3331980,400332,0,1638,760,1049
1767829484,49.99999999999943,0.09980039920159373,49.600798403194126,0,0,3898512,162188,3331980,400336,0,819,760,1049
1767829489,49.85074626865699,0.29850746268656214,49.45273631840761,0,0,3898512,162184,3331980,400340,0,22220,0,0
1767829494,50.698602794410675,0.5988023952095801,48.40319361277506,0,0,3898448,166860,3327236,400344,0,8192,1258,1745
1767829499,50.09980039920164,0,49.6007984031934,0,0,3898448,166856,3327236,400348,0,819,760,1049
1767829504,53.14057826520452,0.5982053838484612,45.06480558325019,0.897308075772683,0,3898464,156600,3337404,400452,20480,1638,3784,2669
1767829509,50.04995004995029,0.09990009990009786,49.6503496503494,0,0,3898468,158104,3335896,400460,0,819,814,1103
1767829514,50.09980039920151,0,49.60079840319398,0,0,3898468,158100,3335896,400464,0,819,1840,1789
1767829519,49.950149551345724,0.0997008973080728,49.651046859421776,0,0,3898468,158096,3335896,400468,0,1945,0,0
1767829524,49.95014955134601,0,49.5513459621135,0,0,3898468,162188,3331800,400472,0,2457,760,1049
1767829529,49.800796812749184,0.09960159362549625,49.6015936254978,0,0,3898468,162184,3331800,400476,0,8192,760,1049
1767829534,49.850746268656856,0.09950248756218738,49.55223880597027,0,0,3898468,162180,3331800,400480,0,1638,760,1049
1767829539,50,0,49.6007984031934,0,0,3898468,162428,3331548,400484,0,819,760,1049
1767829544,49.85044865403802,0.09970089730809163,49.65104685942149,0,0,3898468,162424,3331548,400488,0,819,760,1049
1767829549,49.99999999999915,0.19960079840318518,49.50099800399305,0,0,3898468,162640,3331324,400496,0,47001,0,0
1767829554,50,0.09980039920159486,49.6007984031934,0,0,3898468,162636,3331324,400500,0,819,760,1049
1767829559,50.4990019960081,0.7984031936127767,48.40319361277449,0,0,3898436,166116,3327808,400504,0,819,1258,1745
1767829564,53.08764940239076,0.398406374501985,45.91633466135432,0.09960159362549625,0,3898476,158824,3335132,400512,0,9011,3784,2667
1767829569,50,0.09980039920159486,49.60079840319369,0,0,3898476,160328,3333624,400516,0,819,760,1063
1767829574,50.149551345962266,0,49.45164506480523,0,0,3898476,160548,3333400,400520,0,819,1876,1843
1767829579,50,0,49.700598802395476,0,0,3898500,160568,3333400,400524,0,1331,18,0
1767829584,50.04995004995029,0.0999000999001156,49.6503496503494,0,0,3898500,160564,3333400,400528,0,819,760,1049
1767829589,49.800796812749184,0,49.6015936254978,0,0,3898500,160556,3333400,400536,0,2457,760,1049
1767829594,50,0.09960159362549625,49.501992031872675,0,0,3898500,160804,3333148,400540,0,2457,760,1049
1767829599,49.99999999999887,0.09980039920159259,49.70059880239606,0,0,3898500,160800,3333148,400544,0,8192,760,1049
1767829604,49.95014955134742,0.09970089730807617,49.55134596211236,0,0,3898500,160796,3333148,400548,0,819,760,1049
1767829609,49.950049950049994,0.09990009990009786,49.65034965034968,0,0,3898500,164888,3329052,400552,0,0,0,0
1767829614,49.99999999999887,0.09980039920159259,49.60079840319456,0,0,3898500,164884,3329052,400556,0,13312,760,1049
1767829619,50.64676616915449,0.6965174129353294,48.15920398009948,0,0,3898424,168068,3325788,400560,0,819,1258,1745
1767829624,53.89221556886243,0.39920159680637946,45.20958083832316,0,0,3898380,160204,3333592,400576,0,5120,4830,3827
1767829629,50.04995004995001,0,49.75024975024998,0,0,3898380,161704,3332084,400584,0,819,760,1049
1767829634,50.00000000000029,0.09980039920161259,49.500998003991334,0,0,3898380,161700,3332084,400588,0,8192,1822,1771
1767829639,49.95014955134601,0.09970089730807392,49.65104685942149,0.09970089730807392,0,3898400,161716,3332084,400592,0,0,72,72
1767829644,50,0,49.6007984031934,0,0,3898400,161712,3332084,400596,0,13414,797,1060
1767829649,49.95024875621782,0.09950248756218512,49.55223880597169,0,0,3898400,161708,3332084,400600,0,3276,760,1049
1767829654,49.90039840637516,0.09960159362549625,49.501992031871836,0,0,3898400,161704,3332084,400604,0,819,760,1049
1767829659,50.049850448653984,0,49.5513459621135,0,0,3898400,161700,3332084,400608,0,1638,760,1049
1767829664,49.900199600798494,0.09980039920159486,49.700598802395476,0,0,3898400,161696,3332084,400612,0,0,0,0
1767829669,50,0.19960079840318973,49.500998003991334,0,0,3898416,161704,3332084,400620,0,8192,760,1049
1767829674,50,0.09980039920159486,49.60079840319398,0,0,3898412,161696,3332084,400624,0,6758,760,1049
1767829679,49.99999999999887,0,49.60159362549894,0,0,3898412,161692,3332084,400628,0,819,760,1049
1767829684,54.05405405405558,1.001001001001037,44.84484484484316,0,0,3898412,192644,3301128,400632,0,1638,4500,3381
1767829689,49.95014955134601,0.09970089730807392,49.65104685942205,0,0,3898408,192636,3301128,400636,0,819,760,1049
1767829694,50.049850448653984,0.09970089730807392,49.45164506480552,0,0,3898404,163028,3330728,400640,0,0,977,579
1767829699,50.09980039920093,0,49.60079840319398,0,0,3898412,163788,3329972,400644,0,1638,844,1191
1767829704,50.04995004995001,0,49.75024975024998,0,0,3898412,163784,3329972,400648,0,12185,832,1121
1767829709,50.04985044865513,0,49.551345962112926,0.09970089730807617,0,3898412,164028,3329720,400656,0,819,760,1049
1767829714,49.99999999999887,0,49.60079840319456,0,0,3898412,164024,3329720,400660,0,3276,760,1049
1767829719,49.90039840637459,0.09960159362549625,49.6015936254978,0,0,3898412,164020,3329720,400664,0,819,760,1049
1767829724,49.900199600798494,0.09980039920159486,49.700598802395476,0,0,3898412,164016,3329720,400668,0,0,0,0
1767829729,50.09980039920093,0.19960079840318518,49.40119760479098,0,0,3898412,164012,3329720,400672,0,819,760,1049
1767829734,49.90039840637459,0.09960159362549625,49.6015936254978,0,0,3898412,164008,3329720,400676,0,19968,760,1049
1767829739,49.95014955134714,0.0997008973080939,49.55134596211236,0,0,3898412,164004,3329720,400680,0,8192,760,1049
1767829744,53.89221556886271,1.0978043912175612,44.61077844311356,0,0,3898412,161732,3331984,400688,0,1638,4268,3363
1767829749,49.90039840637459,0.09960159362549625,49.6015936254978,0,0,3898412,162980,3330728,400696,0,819,760,1049
1767829754,49.99999999999887,0,49.60079840319456,0,0,3898412,162976,3330728,400700,0,0,977,579
1767829759,49.80119284294253,0.19880715705765092,49.403578528827005,0,0,3898412,162972,3330728,400704,0,1638,844,1191
1767829764,50.049850448653984,0,49.65104685942205,0,0,3898412,162968,3330728,400708,0,2252,760,1049
1767829769,50.099800399202074,0.09980039920159486,49.60079840319283,0,0,3898412,162964,3330728,400712,0,819,832,1121
1767829774,50,0,49.60079840319398,0,0,3898412,162960,3330728,400716,0,11468,760,1049
1767829779,50.04995004994887,0,49.65034965035054,0,0,3898412,162956,3330728,400720,0,819,760,1049
1767829784,50.04995004995114,0.09990009990011788,49.750249750248834,0,0,3898412,162952,3330728,400724,0,0,0,0
1767829789,49.950049950049994,0.09990009990009786,49.55044955044939,0,0,3898412,162944,3330728,400732,0,819,760,1049
1767829794,49.90039840637459,0.09960159362549625,49.6015936254978,0,0,3898412,162940,3330728,400736,0,18227,760,1049
1767829799,50,0.09980039920159486,49.60079840319398,0.09980039920159486,0,3898412,162936,3330728,400740,0,819,760,1049
1767829804,53.83848454636141,0.9970089730807569,44.76570289132567,0,0,3898448,154964,3338732,400744,0,1638,4294,3364
1767829809,50.04995004994887,0,49.65034965035054,0,0,3898444,156464,3337224,400748,0,8192,760,1049
1767829814,50.09980039920151,0,49.60079840319398,0,0,3898440,156456,3337224,400752,0,0,977,579
1767829819,50.04995004995001,0,49.650349650349966,0,0,3898444,156456,3337224,400756,0,819,844,1191
1767829824,49.950248756219516,0.09950248756218738,49.45273631840676,0,0,3898444,156928,3336748,400760,0,819,828,1094
1767829829,50.09980039920151,0,49.6007984031934,0,0,3898444,156920,3336748,400768,0,2252,760,1049
1767829834,50.049850448653984,0.09970089730807392,49.55134596211407,0,0,3898444,156916,3336748,400772,0,3276,832,1121
1767829839,49.95014955134657,0.09970089730807392,49.65104685942092,0,0,3898444,156912,3336748,400776,0,819,760,1049
1767829844,50.05005005005,0,49.74974974974998,0,0,3898444,156908,3336748,400780,0,7372,0,0
1767829849,49.850746268656856,0.19900497512439244,49.35323383084579,0,0,3898444,156904,3336748,400784,0,819,772,1059
1767829854,49.95024875621782,0,49.55223880597113,0,0,3898444,156900,3336748,400788,0,1638,760,1049
1767829859,50.04995004995001,0,49.6503496503494,0,0,3898444,156896,3336748,400792,0,18227,760,1049
1767829864,53.89221556886271,0.9980039920159663,44.91017964071864,0,0,3898396,188332,3305260,400796,0,5734,4255,3362
1767829869,50.049751243781046,0.09950248756218738,49.25373134328426,0,0,3898396,188324,3305260,400804,0,819,1213,1710
1767829874,50,0.09980039920159486,49.6007984031917,0,0,3898396,188316,3305260,400812,0,0,977,579
1767829879,49.95014955134601,0,49.55134596211407,0,0,3898396,188312,3305260,400816,0,819,844,1191
1767829884,49.95014955134657,0.09970089730807392,49.65104685942205,0,0,3898396,188308,3305260,400820,0,819,760,1049
1767829889,50.199999999999825,0.09999999999999788,49.600000000000364,0,0,3898396,188304,3305260,400824,0,5427,760,1049
1767829894,49.90039840637459,0.09960159362549625,49.60159362549723,0,0,3898392,188296,3305260,400828,0,819,760,1049
1767829899,49.850448654036896,0.09970089730808936,49.6510468594232,0,0,3898392,188292,3305260,400832,0,9830,72,72
1767829904,50.19960079840301,0.19960079840318973,49.30139720558833,0,0,3898392,188288,3305260,400836,0,819,1213,1697
1767829909,50,0.19960079840318973,49.50099800399247,0,0,3898392,188284,3305260,400840,0,819,760,1049
1767829914,50,0,49.700598802394346,0,0,3898392,188276,3305260,400848,0,6553,760,1049
