timestamp,cpu_user,cpu_system,cpu_idle,cpu_iowait,cpu_steal,mem_total_kb,mem_used_kb,mem_free_kb,mem_cached_kb,disk_read_bytes,disk_write_bytes,net_rx_bytes,net_tx_bytes
1767800531,50.60000000000002,1.25,47.95000000000016,0.15000000000000568,0,3570992,365928,1221336,1983700,1160396,2252,821,561
1767800536,50.20040080160303,0.30060120240482047,49.49899799599245,0,0,3570972,365904,1221336,1983704,0,0,133,114
1767800541,50.55055055054947,0.8008008008007648,48.6486486486499,0,0,3571136,361852,1225276,1983980,3276,131072,66,52
1767800546,50.14985014985115,0.3996003996003295,49.35064935064766,0,0,3571144,361856,1225276,1983984,0,44544,157,136
1767800551,50.25025025024945,0.3003003003003046,49.4494494494511,0,0,3571148,361808,1225276,1984036,0,0,52,39
1767800556,50.29999999999972,0.30000000000001137,49.39999999999941,0,0,3571240,361896,1225276,1984040,0,6553,146,128
1767800561,51.30260521042079,0.30060120240482047,48.39679358717467,0,0,3571240,361848,1225276,1984088,0,0,6216,12071
1767800566,50.09980039920151,0.39920159680645034,49.30139720558833,0,0.09980039920159486,3571244,361844,1225276,1984096,0,11468,144,123
1767800571,50.350350350351746,0.500500500500483,49.14914914914763,0,0,3571240,361568,1225276,1984368,0,0,66,52
1767800576,50.35035035035118,0.30030030030031823,49.34934934934879,0,0,3571240,361564,1225276,1984372,4096,16076,197,163
1767800581,50.25025025024716,0.30030030030029087,49.349349349352266,0,0,3571176,361448,1225276,1984424,0,82739,79,52
1767800586,50.199999999999825,0.39999999999992036,49.400000000000546,0,0,3571232,361500,1225276,1984428,0,2457,133,114
1767800591,50.300601202406824,0.3006012024048342,49.39879759518748,0,0,3571228,361448,1225276,1984476,0,0,178,164
1767800596,50.20000000000039,0.40000000000006253,49.39999999999941,0,0,3571232,361448,1225276,1984480,0,2457,133,114
1767800601,50.399999999999636,0.4999999999999716,49.00000000000091,0,0,3571252,361204,1225276,1984744,0,3276,96,85
1767800606,50.25025025025174,0.30030030030031823,49.449449449447656,0,0,3571252,361200,1225276,1984748,0,23449,169,145
1767800611,50.199999999999825,0.39999999999992036,49.400000000000546,0,0,3571252,361148,1225276,1984800,0,72089,52,39
1767800616,50.35035035034888,0.20020020020029786,49.4494494494511,0,0,3571252,365240,1221180,1984804,0,3276,133,114
1767800621,50.35035035034946,0.3003003003003046,49.24924924924995,0,0,3571252,365436,1220932,1984856,0,0,1265,10196
1767800626,50.2000000000021,0.300000000000025,49.49999999999816,0,0,3571252,365432,1220932,1984860,0,3276,243,200
1767800631,50.35035035034946,0.5005005005004601,49.14914914914994,0,0,3571232,365144,1220932,1985128,0,0,52,39
1767800636,50.250250250248875,0.3003003003003046,49.449449449449965,0,0,3571208,365116,1220932,1985132,2457,10854,144,123
1767800641,50.35035035035118,0.2002002002001647,49.34934934934879,0,0,3571240,365100,1220932,1985180,0,0,52,39
1767800646,50.249750249751735,0.3996003996004715,49.35064935064879,0,0,3571236,365092,1220932,1985184,0,2457,133,114
1767800651,50.199999999999825,0.29999999999986926,49.2999999999995,0,0.1000000000000023,3571236,365040,1220932,1985236,0,82739,107,93
1767800656,50.3000000000003,0.30000000000001137,49.400000000000546,0,0,3571236,373224,1212740,1985244,0,3276,133,114
1767800661,50.29999999999972,0.5000000000001137,49.099999999999675,0,0,3571236,372964,1212740,1985504,0,819,52,39
1767800666,50.20040080160303,0.3006012024046781,49.49899799599245,0,0,3571176,375072,1210568,1985508,0,15052,144,123
1767800671,50.3000000000003,0.30000000000001137,49.39999999999941,0,0,3571176,375020,1210568,1985560,0,0,52,39
1767800676,50.250250250248875,0.3003003003003046,49.4494494494511,0,0,3571224,372808,1212824,1985564,0,2457,133,114
1767800681,50.35035035035118,0.40040040040047176,49.14914914914876,0,0,3571236,372772,1212824,1985612,0,0,3095,10290
1767800686,50.199999999999825,0.30000000000001137,49.39999999999941,0,0,3571212,372744,1212824,1985616,0,3276,144,123
1767800691,50.450450450450035,0.4004004004003112,49.14914914914994,0,0,3571220,372740,1212572,1985880,0,125337,52,39
1767800696,50.14985014985115,0.29970029970031814,49.4505494505488,0,0,3571228,373464,1211852,1985884,0,6860,157,136
1767800701,50.300601202404536,0.30060120240482047,49.39879759519093,0,0,3571232,374420,1210848,1985936,0,0,52,39
1767800706,50.35035035034888,0.2002002002001556,49.449449449449965,0,0,3571204,373884,1211352,1985940,0,3276,133,114
1767800711,50.09999999999991,0.40000000000006253,49.39999999999941,0,0,3571216,374316,1210880,1985992,0,0,121,107
1767800716,50.300000000000864,0.30000000000001137,49.39999999999941,0,0,3571216,373992,1211200,1985996,0,2457,133,114
1767800721,50.45045045045119,0.40040040040047176,49.14914914914763,0,0,3571260,373776,1211200,1986256,0,819,52,39
1767800726,50.150150150148875,0.4004004004003112,49.34934934935109,0,0,3571212,373724,1211200,1986260,0,13004,157,136
1767800731,50.300601202404536,0.30060120240482047,49.39879759519093,0,0,3571260,373720,1211200,1986312,0,0,52,39
1767800736,50.14955134596312,0.3988035892323756,49.252243270188956,0,0.09970089730807617,3571260,373716,1211200,1986316,0,84377,133,114
1767800741,50.40080160320489,0.30060120240466437,49.29859719438945,0,0,3571244,373652,1211200,1986364,0,0,1249,10179
1767800746,50.199999999999825,0.30000000000001137,49.400000000000546,0,0,3571224,371464,1213360,1986372,0,13926,159,128
1767800751,50.35035035035118,0.6006006006006365,49.049049049048755,0,0,3571228,371204,1213360,1986636,0,0,52,39
1767800756,50.199999999999825,0.30000000000001137,49.400000000000546,0,0,3571264,371236,1213360,1986640,0,58777,144,123
1767800761,50.300601202406824,0.3006012024048342,49.39879759518748,0,0,3571252,371172,1213360,1986692,0,0,52,39
1767800766,50.249750249750015,0.39960039960045335,49.35064935064995,0,0,3571272,371188,1213360,1986696,0,2457,133,114
1767800771,50.20040080160532,0.3006012024048342,49.49899799599014,0,0,3571256,368576,1215908,1986744,0,0,107,93
1767800776,50.29999999999515,0.29999999999984195,49.30000000000525,0,0,3571252,368816,1215660,1986748,0,2457,144,123
1767800781,50.35035035035118,0.5005005005006252,49.14914914914763,0,0,3571256,367800,1216416,1987012,0,0,52,39
1767800786,50.25025025025117,0.30030030030031823,49.4494494494488,0,0,3571272,366044,1218180,1987020,0,10342,144,123
1767800791,50.25025025025231,0.30030030030031823,49.34934934934765,0,0,3571224,368184,1215944,1987068,0,81920,52,39
1767800796,50.29999999999972,0.29999999999986926,49.39999999999941,0,0,3571272,367472,1216700,1987072,0,2457,133,114
1767800801,50.350350350346595,0.4004004004004353,49.2492492492534,0,0,3571264,368168,1215944,1987124,3276,11468,2009,234
1767800806,50.199999999999825,0.30000000000001137,49.400000000000546,0,0,3571268,368644,1215468,1987128,0,3276,1206,10200
1767800811,50.29999999999972,0.4999999999999716,49.19999999999959,0,0,3571236,368352,1215468,1987388,0,2457,52,39
1767800816,50.25025025025231,0.2002002002001647,49.54954954954768,0,0,3571264,368376,1215468,1987392,0,54784,157,136
1767800821,50.199999999999825,0.30000000000001137,49.30000000000063,0,0.1000000000000023,3571264,368108,1215684,1987444,0,2764,52,39
1767800826,50.29999999999972,0.30000000000001137,49.400000000000546,0,0,3571264,368328,1215460,1987448,3276,0,133,114
1767800831,50.24975024975345,0.29970029970033174,49.35064935064535,0,0,3571244,366492,1217224,1987500,0,3276,77,61
1767800836,50.25075225676894,0.20060180541620373,49.548645937815,0,0,3571208,366452,1217224,1987504,0,0,177,160
1767800841,50.300000000000864,0.5000000000001137,49.19999999999959,0,0,3571224,367400,1216024,1987772,0,2457,64,48
1767800846,50.199999999999825,0.30000000000001137,49.400000000000546,0,0,3571228,367400,1216024,1987776,0,5529,175,154
1767800851,50.29999999999972,0.29999999999986926,49.2999999999995,0.10000000000005116,0,3571228,368108,1215268,1987824,819,84787,52,39
1767800856,50.199999999999825,0.40000000000006253,49.400000000000546,0,0,3571236,368112,1215268,1987828,0,0,133,114
1767800861,50.400801603203746,0.30060120240480676,49.298597194391725,0,0,3571208,368000,1215300,1987880,0,2457,3016,10253
1767800866,50.200000000000955,0.30000000000001137,49.39999999999941,0,0,3571232,368020,1215300,1987884,0,2457,155,131
1767800871,50.35035035035118,0.500500500500483,49.14914914914763,0,0,3571232,367752,1215300,1988152,0,4096,52,39
1767800876,50.149850149848874,0.39960039960045335,49.35064935064995,0,0,3571276,367532,1215556,1988160,0,10342,157,136
1767800881,50.25025025025117,0.4004004004003294,49.34934934934879,0,0,3571276,367708,1215332,1988208,0,512,52,39
1767800886,50.30060120240224,0.30060120240480676,49.39879759519209,0,0,3571276,367956,1215080,1988212,0,2457,133,114
1767800891,50.199999999999825,0.40000000000006253,49.400000000000546,0,0,3571276,367904,1215080,1988264,0,81920,121,107
1767800896,50.300000000000864,0.19999999999996018,49.39999999999941,0,0,3571276,367900,1215080,1988268,0,2457,144,123
1767800901,50.29999999999972,0.6000000000000227,49.099999999999675,0,0,3571276,367640,1215080,1988528,0,0,52,39
1767800906,50.09999999999991,0.39999999999992036,49.400000000000546,0,0,3571276,368140,1214576,1988532,0,12492,157,136
1767800911,50.300601202406824,0.40080160320649305,49.298597194387106,0,0,3571272,369924,1212740,1988580,0,5324,52,39
1767800916,50.24975024974888,0.29970029970030454,49.35064935064995,0,0,3571224,367772,1214840,1988584,0,2457,133,114
1767800921,50.25025025025231,0.30030030030031823,49.34934934934765,0,0.10010010010010016,3571216,367932,1214616,1988640,18841,0,1227,10158
1767800926,50.29999999999972,0.30000000000001137,49.400000000000546,0,0,3571264,367976,1214616,1988644,0,4096,195,158
1767800931,50.25025025025117,0.6006006006006365,49.049049049047625,0,0,3571264,367720,1214616,1988900,0,124518,52,39
1767800936,50.25025025025117,0.300300300300176,49.4494494494488,0,0,3571256,367708,1214616,1988904,0,2764,144,123
1767800941,50.24975024974888,0.39960039960045335,49.25074925075108,0,0,3571252,367652,1214616,1988956,0,307,52,39
1767800946,50.300000000000864,0.30000000000001137,49.39999999999941,0,0,3571208,367604,1214616,1988960,0,13107,133,114
1767800951,50.30060120240224,0.30060120240480676,49.39879759519209,0,0,3571256,367604,1214616,1989008,0,0,107,93
1767800956,50.24975024975345,0.49950049950050557,49.25074925074647,0,0,3571256,367600,1214616,1989012,0,12288,144,123
1767800961,50.30060120240224,0.5010020040079638,49.19839679359021,0,0,3571212,367296,1214616,1989272,0,0,52,39
1767800966,50.24975024974888,0.29970029970030454,49.35064935065109,0,0,3571236,367312,1214616,1989280,0,60825,144,123
1767800971,50.25025025025231,0.30030030030031823,49.449449449446526,0,0,3571240,367264,1214616,1989332,0,307,52,39
1767800976,50.29999999999972,0.19999999999996018,49.400000000000546,0,0,3571240,367260,1214616,1989336,3276,2457,133,114
1767800981,50.35035035035118,0.40040040040047176,49.24924924924877,0,0,3571208,367176,1214616,1989388,0,0,3095,10289
1767800986,50.29999999999972,0.30000000000001137,49.30000000000063,0,0,3571208,367172,1214616,1989392,0,4096,144,137
1767800991,50.25025025025117,0.6006006006006365,49.14914914914876,0,0,3571208,367164,1214364,1989652,0,0,52,39
1767800996,50.300000000000864,0.19999999999996018,49.400000000000546,0,0.1000000000000023,3571208,367412,1214112,1989656,819,3891,157,136
1767801001,50.25025025024659,0.4004004004004353,49.2492492492534,0,0,3571232,367384,1214112,1989708,0,82432,52,39
1767801006,50.29999999999972,0.39999999999992036,49.29999999999837,0,0,3571228,368916,1212568,1989716,1638,5734,133,114
1767801011,50.199999999999825,0.30000000000001137,49.400000000000546,0,0,3571224,369088,1212344,1989764,0,10649,121,107
1767801016,50.35035035035118,0.2002002002001647,49.4494494494488,0,0,3571260,369372,1212092,1989768,0,2457,144,123
1767801021,50.25025025025231,0.6006006006006365,49.14914914914649,0,0,3571240,369084,1212092,1990036,0,0,52,39
1767801026,50.29999999999972,0.30000000000001137,49.30000000000063,0,0,3571240,366920,1214252,1990040,20480,67686,157,136
1767801031,50.25025025025117,0.30030030030031823,49.4494494494488,0,0,3571216,366848,1214252,1990088,0,512,52,39
1767801036,50.25025025025117,0.30030030030031823,49.4494494494488,0,0,3571216,366844,1214252,1990092,0,2457,133,114
1767801041,50.24975024974888,0.3996003996003114,49.25074925075108,0,0,3571216,366792,1214252,1990144,0,0,1252,10179
1767801046,50.350350350352315,0.30030030030031823,49.34934934934652,0,0,3571204,367028,1214000,1990148,0,3276,159,128
1767801051,50.35035035035118,0.40040040040047176,49.14914914914876,0,0,3571244,366804,1214000,1990412,0,0,52,39
1767801056,50.29999999999972,0.30000000000001137,49.400000000000546,0,0,3571244,366800,1214000,1990416,0,13414,144,123
1767801061,50.199999999999825,0.30000000000001137,49.29999999999837,0,0.09999999999999788,3571264,366772,1214000,1990464,0,86425,52,39
1767801066,50.299999999996295,0.2999999999999841,49.400000000002876,0,0,3571264,368800,1211968,1990468,0,2457,133,114
1767801071,50.35035035035118,0.30030030030031823,49.24924924924877,0,0,3571264,368748,1211968,1990520,0,0,107,93
1767801076,50.199999999999825,0.39999999999992036,49.400000000000546,0,0,3571264,368744,1211968,1990524,0,2457,133,114
